Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,New Rating
848-62-7243,A,Yangon,Normal,Male,Health and beauty,24.89,9,11.2,235,3/15/2019,15:36,Cash,224.01,4.76,11.2,7,High
595-11-5460,A,Yangon,Normal,Male,Health and beauty,96.58,2,9.66,203,3/15/2019,10:12,Credit card,193.16,4.76,9.66,5,Medium
129-29-8530,A,Yangon,Member,Male,Sports and travel,62.62,5,15.66,329,3/10/2019,19:15,Ewallet,313.1,4.76,15.66,7,Medium
272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88,9,27.4,575,1/15/2019,17:17,Ewallet,547.92,4.76,27.4,5,Medium
162-48-8011,A,Yangon,Member,Female,Food and beverages,44.59,5,11.15,234,2/10/2019,15:10,Cash,222.95,4.76,11.15,9,High
106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44.34,2,4.43,93,3/27/2019,11:26,Cash,88.68,4.76,4.43,6,Medium
635-40-6220,A,Yangon,Normal,Male,Health and beauty,89.6,8,35.84,753,2/7/2019,11:28,Ewallet,716.8,4.76,35.84,7,Medium
817-48-8732,A,Yangon,Member,Female,Home and lifestyle,72.35,10,36.18,760,1/20/2019,15:55,Cash,723.5,4.76,36.18,5,Medium
199-75-8169,A,Yangon,Member,Male,Sports and travel,15.81,10,7.91,166,3/6/2019,12:27,Credit card,158.1,4.76,7.91,9,High
877-22-3308,A,Yangon,Member,Male,Health and beauty,15.87,10,7.94,167,3/13/2019,16:40,Cash,158.7,4.76,7.94,6,Medium
232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77,10,39.39,827,1/24/2019,10:04,Cash,787.7,4.76,39.39,6,Medium
382-03-4532,A,Yangon,Member,Female,Health and beauty,18.33,1,0.92,19,2/2/2019,18:50,Cash,18.33,4.76,0.92,4,Medium
287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.67,9,33.6,706,1/22/2019,10:55,Ewallet,672.03,4.76,33.6,9,High
381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.01,9,9,189,1/12/2019,15:48,Credit card,180.09,4.76,9,6,Medium
633-44-8566,A,Yangon,Member,Male,Food and beverages,49.38,7,17.28,363,3/27/2019,20:35,Credit card,345.66,4.76,17.28,7,High
504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1,2.12,45,1/2/2019,16:57,Cash,42.47,4.76,2.12,6,Medium
873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98,7,7.69,162,1/10/2019,16:42,Ewallet,153.86,4.76,7.69,5,Medium
594-34-4444,A,Yangon,Normal,Male,Electronic accessories,97.16,1,4.86,102,3/8/2019,20:38,Ewallet,97.16,4.76,4.86,7,High
865-92-6136,A,Yangon,Normal,Male,Food and beverages,52.75,3,7.91,166,3/23/2019,10:16,Ewallet,158.25,4.76,7.91,9,High
212-62-1842,A,Yangon,Normal,Male,Food and beverages,58.26,6,17.48,367,3/28/2019,16:44,Cash,349.56,4.76,17.48,10,High
704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.67,10,44.34,931,1/12/2019,14:50,Ewallet,886.7,4.76,44.34,7,High
630-74-5166,A,Yangon,Normal,Male,Sports and travel,62.13,6,18.64,391,3/22/2019,20:19,Cash,372.78,4.76,18.64,7,High
645-44-1170,A,Yangon,Member,Male,Home and lifestyle,58.07,9,26.13,549,1/19/2019,20:07,Ewallet,522.63,4.76,26.13,4,Medium
642-32-2990,A,Yangon,Normal,Female,Food and beverages,10.96,10,5.48,115,2/2/2019,20:48,Ewallet,109.6,4.76,5.48,6,Medium
638-60-7125,A,Yangon,Normal,Female,Electronic accessories,99.56,8,39.82,836,2/14/2019,17:03,Credit card,796.48,4.76,39.82,5,Medium
668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,93.69,7,32.79,689,3/10/2019,18:44,Credit card,655.83,4.76,32.79,5,Medium
870-54-3162,A,Yangon,Normal,Female,Sports and travel,32.25,5,8.06,169,1/27/2019,13:26,Cash,161.25,4.76,8.06,9,High
802-70-5316,A,Yangon,Member,Female,Sports and travel,92.13,6,27.64,580,3/6/2019,20:34,Cash,552.78,4.76,27.64,8,High
700-81-1757,A,Yangon,Normal,Female,Electronic accessories,26.31,5,6.58,138,1/18/2019,20:59,Credit card,131.55,4.76,6.58,9,High
354-39-5160,A,Yangon,Member,Female,Home and lifestyle,34.42,6,10.33,217,2/18/2019,15:39,Cash,206.52,4.76,10.33,10,High
575-30-8091,A,Yangon,Normal,Male,Sports and travel,72.5,8,29,609,3/16/2019,19:25,Ewallet,580,4.76,29,9,High
239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,77.95,6,23.39,491,1/21/2019,16:37,Ewallet,467.7,4.76,23.39,8,High
685-64-1609,A,Yangon,Member,Female,Fashion accessories,30.14,10,15.07,316,2/10/2019,12:28,Ewallet,301.4,4.76,15.07,9,High
238-49-0436,A,Yangon,Normal,Male,Health and beauty,32.46,8,12.98,273,3/27/2019,13:48,Credit card,259.68,4.76,12.98,5,Medium
746-94-0204,A,Yangon,Normal,Male,Fashion accessories,83.24,9,37.46,787,1/29/2019,11:56,Credit card,749.16,4.76,37.46,7,High
782-95-9291,A,Yangon,Member,Male,Food and beverages,92.29,5,23.07,485,2/20/2019,15:55,Credit card,461.45,4.76,23.07,9,High
275-28-0149,A,Yangon,Normal,Male,Sports and travel,63.69,1,3.18,67,2/25/2019,16:21,Cash,63.69,4.76,3.18,6,Medium
101-17-6199,A,Yangon,Normal,Male,Food and beverages,45.79,7,16.03,337,3/13/2019,19:44,Credit card,320.53,4.76,16.03,7,Medium
687-47-8271,A,Yangon,Normal,Male,Fashion accessories,98.98,10,49.49,1039,2/8/2019,16:20,Credit card,989.8,4.76,49.49,9,High
796-32-9050,A,Yangon,Normal,Male,Food and beverages,51.28,6,15.38,323,1/19/2019,16:31,Cash,307.68,4.76,15.38,7,Medium
105-31-1824,A,Yangon,Member,Male,Sports and travel,69.52,7,24.33,511,2/1/2019,15:10,Credit card,486.64,4.76,24.33,9,High
249-42-3782,A,Yangon,Normal,Male,Health and beauty,70.01,5,17.5,368,1/3/2019,11:36,Ewallet,350.05,4.76,17.5,6,Medium
827-26-2100,A,Yangon,Member,Male,Home and lifestyle,33.84,9,15.23,320,3/21/2019,16:21,Ewallet,304.56,4.76,15.23,9,High
175-54-2529,A,Yangon,Member,Male,Food and beverages,22.17,8,8.87,186,3/3/2019,17:01,Credit card,177.36,4.76,8.87,10,High
407-63-8975,A,Yangon,Normal,Male,Food and beverages,73.88,6,22.16,465,3/23/2019,19:16,Ewallet,443.28,4.76,22.16,4,Medium
851-28-6367,A,Yangon,Member,Male,Sports and travel,15.5,10,7.75,163,3/23/2019,10:55,Ewallet,155,4.76,7.75,8,High
586-25-0848,A,Yangon,Normal,Female,Sports and travel,12.34,7,4.32,91,3/4/2019,11:19,Credit card,86.38,4.76,4.32,7,Medium
400-60-7251,A,Yangon,Normal,Male,Home and lifestyle,74.07,1,3.7,78,2/10/2019,12:50,Ewallet,74.07,4.76,3.7,10,High
831-07-6050,A,Yangon,Normal,Male,Electronic accessories,32.71,5,8.18,172,3/19/2019,11:30,Credit card,163.55,4.76,8.18,10,High
856-22-8149,A,Yangon,Normal,Female,Home and lifestyle,25.29,1,1.26,27,3/23/2019,10:13,Ewallet,25.29,4.76,1.26,6,Medium
749-24-1565,A,Yangon,Normal,Female,Health and beauty,23.03,9,10.36,218,1/3/2019,12:02,Ewallet,207.27,4.76,10.36,8,High
888-02-0338,A,Yangon,Normal,Male,Electronic accessories,26.23,9,11.8,248,1/25/2019,20:24,Ewallet,236.07,4.76,11.8,6,Medium
802-43-8934,A,Yangon,Normal,Male,Home and lifestyle,18.28,1,0.91,19,3/22/2019,15:05,Credit card,18.28,4.76,0.91,8,High
319-74-2561,A,Yangon,Member,Female,Electronic accessories,94.64,3,14.2,298,2/21/2019,16:55,Cash,283.92,4.76,14.2,6,Medium
213-72-6612,A,Yangon,Normal,Male,Food and beverages,43.25,2,4.33,91,3/20/2019,15:56,Cash,86.5,4.76,4.33,6,Medium
721-86-6247,A,Yangon,Normal,Female,Home and lifestyle,63.42,8,25.37,533,3/11/2019,12:55,Ewallet,507.36,4.76,25.37,7,High
157-13-5295,A,Yangon,Member,Male,Health and beauty,51.94,10,25.97,545,3/9/2019,18:24,Ewallet,519.4,4.76,25.97,7,Medium
645-78-8093,A,Yangon,Normal,Female,Sports and travel,93.14,2,9.31,196,1/20/2019,18:09,Ewallet,186.28,4.76,9.31,4,Medium
478-06-7835,A,Yangon,Normal,Male,Fashion accessories,89.69,1,4.48,94,1/11/2019,11:20,Ewallet,89.69,4.76,4.48,5,Medium
540-11-4336,A,Yangon,Normal,Male,Food and beverages,24.94,9,11.22,236,1/11/2019,16:49,Credit card,224.46,4.76,11.22,6,Medium
448-81-5016,A,Yangon,Normal,Male,Health and beauty,59.77,2,5.98,126,3/11/2019,12:01,Credit card,119.54,4.76,5.98,6,Medium
217-58-1179,A,Yangon,Member,Male,Home and lifestyle,62.65,4,12.53,263,1/5/2019,11:25,Cash,250.6,4.76,12.53,4,Medium
530-90-9855,A,Yangon,Member,Male,Home and lifestyle,47.59,8,19.04,400,1/1/2019,14:47,Cash,380.72,4.76,19.04,6,Medium
604-70-6476,A,Yangon,Member,Male,Fashion accessories,17.94,5,4.49,94,1/23/2019,14:04,Ewallet,89.7,4.76,4.49,7,Medium
799-71-1548,A,Yangon,Member,Male,Electronic accessories,77.72,4,15.54,326,1/7/2019,16:11,Credit card,310.88,4.76,15.54,9,High
290-68-2984,A,Yangon,Normal,Male,Home and lifestyle,23.75,4,4.75,100,3/16/2019,11:22,Cash,95,4.76,4.75,5,Medium
704-11-6354,A,Yangon,Member,Male,Home and lifestyle,58.9,8,23.56,495,1/6/2019,11:23,Cash,471.2,4.76,23.56,9,High
366-93-0948,A,Yangon,Member,Male,Electronic accessories,66.35,1,3.32,70,1/31/2019,10:46,Credit card,66.35,4.76,3.32,10,High
729-09-9681,A,Yangon,Member,Male,Home and lifestyle,25.91,6,7.77,163,2/5/2019,10:16,Ewallet,155.46,4.76,7.77,9,High
151-16-1484,A,Yangon,Member,Male,Electronic accessories,32.25,4,6.45,135,2/13/2019,12:38,Ewallet,129,4.76,6.45,7,Medium
850-41-9669,A,Yangon,Normal,Female,Electronic accessories,75.06,9,33.78,709,3/19/2019,13:25,Ewallet,675.54,4.76,33.78,6,Medium
447-15-7839,A,Yangon,Member,Female,Sports and travel,22.24,10,11.12,234,2/9/2019,11:00,Cash,222.4,4.76,11.12,4,Medium
253-12-6086,A,Yangon,Member,Female,Sports and travel,98.4,7,34.44,723,3/12/2019,12:43,Credit card,688.8,4.76,34.44,9,High
144-51-6085,A,Yangon,Member,Male,Home and lifestyle,70.74,4,14.15,297,1/5/2019,16:05,Credit card,282.96,4.76,14.15,4,Medium
731-14-2199,A,Yangon,Member,Female,Home and lifestyle,35.54,10,17.77,373,1/4/2019,13:34,Ewallet,355.4,4.76,17.77,7,Medium
126-54-1082,A,Yangon,Member,Female,Home and lifestyle,21.54,9,9.69,204,1/7/2019,11:44,Credit card,193.86,4.76,9.69,9,High
633-91-1052,A,Yangon,Normal,Female,Home and lifestyle,12.03,2,1.2,25,1/27/2019,15:51,Cash,24.06,4.76,1.2,5,Medium
828-61-5674,A,Yangon,Member,Male,Sports and travel,44.02,10,22.01,462,3/20/2019,19:57,Credit card,440.2,4.76,22.01,10,High
136-08-6195,A,Yangon,Normal,Female,Home and lifestyle,69.96,8,27.98,588,2/15/2019,17:01,Credit card,559.68,4.76,27.98,6,Medium
490-29-1201,A,Yangon,Normal,Female,Sports and travel,15.34,1,0.77,16,1/6/2019,11:09,Cash,15.34,4.76,0.77,7,Medium
667-92-0055,A,Yangon,Member,Male,Health and beauty,99.83,6,29.95,629,3/4/2019,15:02,Ewallet,598.98,4.76,29.95,9,High
565-17-3836,A,Yangon,Member,Female,Health and beauty,47.67,4,9.53,200,3/12/2019,14:21,Cash,190.68,4.76,9.53,9,High
430-60-3493,A,Yangon,Member,Female,Home and lifestyle,94.88,7,33.21,697,2/3/2019,14:38,Cash,664.16,4.76,33.21,4,Medium
278-97-7759,A,Yangon,Member,Female,Electronic accessories,62.48,1,3.12,66,2/18/2019,20:29,Cash,62.48,4.76,3.12,5,Medium
316-68-6352,A,Yangon,Member,Female,Food and beverages,36.36,2,3.64,76,1/21/2019,10:00,Cash,72.72,4.76,3.64,7,High
744-02-5987,A,Yangon,Member,Male,Home and lifestyle,78.38,6,23.51,494,1/10/2019,14:16,Ewallet,470.28,4.76,23.51,6,Medium
307-83-9164,A,Yangon,Member,Male,Home and lifestyle,60.01,4,12,252,1/25/2019,15:54,Cash,240.04,4.76,12,5,Medium
439-54-7422,A,Yangon,Normal,Female,Electronic accessories,51.19,4,10.24,215,3/18/2019,17:15,Credit card,204.76,4.76,10.24,5,Medium
411-77-0180,A,Yangon,Member,Male,Electronic accessories,72.2,7,25.27,531,3/26/2019,20:14,Ewallet,505.4,4.76,25.27,4,Medium
286-01-5402,A,Yangon,Normal,Female,Sports and travel,40.23,7,14.08,296,3/30/2019,13:22,Cash,281.61,4.76,14.08,10,High
803-17-8013,A,Yangon,Member,Female,Home and lifestyle,88.79,8,35.52,746,2/17/2019,17:09,Cash,710.32,4.76,35.52,4,Medium
512-98-1403,A,Yangon,Member,Female,Electronic accessories,26.48,3,3.97,83,3/21/2019,10:40,Ewallet,79.44,4.76,3.97,5,Medium
848-42-2560,A,Yangon,Normal,Female,Fashion accessories,81.91,2,8.19,172,3/5/2019,17:43,Cash,163.82,4.76,8.19,8,High
870-76-1733,A,Yangon,Member,Female,Food and beverages,14.23,5,3.56,75,2/1/2019,10:08,Credit card,71.15,4.76,3.56,4,Medium
423-64-4619,A,Yangon,Member,Female,Health and beauty,15.55,9,7,147,3/7/2019,13:12,Cash,139.95,4.76,7,5,Medium
372-94-8041,A,Yangon,Normal,Male,Health and beauty,15.26,6,4.58,96,2/15/2019,18:03,Ewallet,91.56,4.76,4.58,10,High
563-91-7120,A,Yangon,Normal,Female,Fashion accessories,61.77,5,15.44,324,3/8/2019,13:21,Cash,308.85,4.76,15.44,7,Medium
746-54-5508,A,Yangon,Normal,Male,Home and lifestyle,21.52,6,6.46,136,1/17/2019,12:48,Credit card,129.12,4.76,6.46,9,High
815-11-1168,A,Yangon,Member,Male,Food and beverages,99.78,5,24.95,524,3/9/2019,19:09,Cash,498.9,4.76,24.95,5,Medium
340-66-0321,A,Yangon,Member,Male,Electronic accessories,36.36,4,7.27,153,3/25/2019,13:07,Cash,145.44,4.76,7.27,8,High
634-97-8956,A,Yangon,Normal,Male,Food and beverages,32.9,3,4.94,104,2/17/2019,17:27,Credit card,98.7,4.76,4.94,9,High
566-71-1091,A,Yangon,Normal,Male,Fashion accessories,77.02,5,19.26,404,2/3/2019,15:59,Cash,385.1,4.76,19.26,6,Medium
442-48-3607,A,Yangon,Member,Male,Food and beverages,23.48,2,2.35,49,3/14/2019,11:21,Credit card,46.96,4.76,2.35,8,High
527-09-6272,A,Yangon,Member,Female,Electronic accessories,28.45,5,7.11,149,3/21/2019,10:17,Credit card,142.25,4.76,7.11,9,High
898-04-2717,A,Yangon,Normal,Male,Fashion accessories,76.4,9,34.38,722,3/19/2019,15:49,Ewallet,687.6,4.76,34.38,8,High
150-89-8043,A,Yangon,Normal,Male,Sports and travel,44.65,3,6.7,141,2/14/2019,15:04,Cash,133.95,4.76,6.7,6,Medium
135-84-8019,A,Yangon,Normal,Female,Fashion accessories,77.93,9,35.07,736,2/27/2019,16:10,Ewallet,701.37,4.76,35.07,8,High
441-94-7118,A,Yangon,Member,Male,Electronic accessories,71.95,1,3.6,76,2/4/2019,12:14,Cash,71.95,4.76,3.6,7,High
531-80-1784,A,Yangon,Normal,Male,Electronic accessories,26.02,7,9.11,191,3/28/2019,17:38,Cash,182.14,4.76,9.11,5,Medium
834-61-8124,A,Yangon,Normal,Male,Electronic accessories,51.69,7,18.09,380,1/26/2019,18:22,Cash,361.83,4.76,18.09,6,Medium
612-36-5536,A,Yangon,Member,Male,Food and beverages,80.96,8,32.38,680,2/17/2019,11:12,Credit card,647.68,4.76,32.38,7,High
462-67-9126,A,Yangon,Normal,Male,Home and lifestyle,73.22,6,21.97,461,1/21/2019,17:44,Cash,439.32,4.76,21.97,7,High
468-88-0009,A,Yangon,Member,Male,Home and lifestyle,65.94,4,13.19,277,3/24/2019,10:29,Cash,263.76,4.76,13.19,6,Medium
254-31-0042,A,Yangon,Member,Male,Electronic accessories,21.5,9,9.68,203,3/6/2019,12:46,Credit card,193.5,4.76,9.68,8,High
422-29-8786,A,Yangon,Normal,Female,Home and lifestyle,67.09,5,16.77,352,1/3/2019,16:47,Credit card,335.45,4.76,16.77,9,High
667-23-5919,A,Yangon,Member,Female,Fashion accessories,96.7,5,24.18,508,1/14/2019,12:52,Ewallet,483.5,4.76,24.18,7,Medium
289-15-7034,A,Yangon,Member,Male,Sports and travel,82.33,4,16.47,346,1/11/2019,10:37,Credit card,329.32,4.76,16.47,8,High
662-72-2873,A,Yangon,Normal,Female,Food and beverages,40.94,5,10.24,215,1/6/2019,13:58,Ewallet,204.7,4.76,10.24,10,High
725-56-0833,A,Yangon,Normal,Female,Health and beauty,32.32,10,16.16,339,2/20/2019,16:49,Credit card,323.2,4.76,16.16,10,High
563-36-9814,A,Yangon,Member,Male,Electronic accessories,76.82,1,3.84,81,2/13/2019,18:27,Ewallet,76.82,4.76,3.84,7,High
308-47-4913,A,Yangon,Member,Female,Sports and travel,52.26,10,26.13,549,3/9/2019,12:45,Credit card,522.6,4.76,26.13,6,Medium
885-17-6250,A,Yangon,Normal,Female,Health and beauty,79.74,1,3.99,84,3/6/2019,10:36,Ewallet,79.74,4.76,3.99,7,High
726-27-2396,A,Yangon,Normal,Female,Health and beauty,77.5,5,19.38,407,1/24/2019,20:36,Ewallet,387.5,4.76,19.38,4,Medium
316-01-3952,A,Yangon,Normal,Female,Food and beverages,54.27,5,13.57,285,3/13/2019,14:16,Ewallet,271.35,4.76,13.57,5,Medium
882-40-4577,A,Yangon,Member,Male,Sports and travel,67.26,4,13.45,282,1/19/2019,15:28,Credit card,269.04,4.76,13.45,8,High
732-67-5346,A,Yangon,Normal,Male,Food and beverages,13.79,5,3.45,72,1/11/2019,19:07,Credit card,68.95,4.76,3.45,8,High
256-08-8343,A,Yangon,Normal,Female,Home and lifestyle,56.53,4,11.31,237,3/4/2019,19:48,Ewallet,226.12,4.76,11.31,6,Medium
132-23-6451,A,Yangon,Member,Male,Health and beauty,20.97,5,5.24,110,1/4/2019,13:21,Cash,104.85,4.76,5.24,8,High
696-90-2548,A,Yangon,Normal,Male,Sports and travel,25.84,3,3.88,81,3/10/2019,18:55,Ewallet,77.52,4.76,3.88,7,Medium
472-15-9636,A,Yangon,Normal,Male,Home and lifestyle,50.93,8,20.37,428,3/22/2019,19:36,Ewallet,407.44,4.76,20.37,9,High
745-71-3520,A,Yangon,Member,Female,Electronic accessories,25.22,7,8.83,185,2/4/2019,10:23,Cash,176.54,4.76,8.83,8,High
269-10-8440,A,Yangon,Member,Male,Health and beauty,53.17,7,18.61,391,1/21/2019,18:01,Cash,372.19,4.76,18.61,9,High
325-77-6186,A,Yangon,Member,Female,Home and lifestyle,90.65,10,45.33,952,3/8/2019,10:53,Ewallet,906.5,4.76,45.33,7,High
459-50-7686,A,Yangon,Normal,Female,Electronic accessories,23.46,6,7.04,148,1/13/2019,19:14,Ewallet,140.76,4.76,7.04,6,Medium
345-08-4992,A,Yangon,Normal,Male,Home and lifestyle,33.99,6,10.2,214,3/8/2019,15:37,Credit card,203.94,4.76,10.2,8,High
138-17-5109,A,Yangon,Member,Female,Home and lifestyle,89.21,9,40.14,843,1/15/2019,15:42,Credit card,802.89,4.76,40.14,7,Medium
301-11-9629,A,Yangon,Normal,Female,Sports and travel,19.1,7,6.69,140,1/15/2019,10:43,Cash,133.7,4.76,6.69,10,High
727-17-0390,A,Yangon,Normal,Female,Food and beverages,63.61,5,15.9,334,3/16/2019,12:43,Ewallet,318.05,4.76,15.9,5,Medium
568-88-3448,A,Yangon,Normal,Male,Health and beauty,25,1,1.25,26,3/3/2019,15:09,Ewallet,25,4.76,1.25,6,Medium
187-83-5490,A,Yangon,Member,Male,Electronic accessories,20.77,4,4.15,87,1/31/2019,13:47,Cash,83.08,4.76,4.15,5,Medium
470-32-9057,A,Yangon,Member,Male,Food and beverages,51.34,5,12.84,270,3/28/2019,15:31,Credit card,256.7,4.76,12.84,9,High
340-21-9136,A,Yangon,Member,Female,Sports and travel,40.05,4,8.01,168,1/25/2019,11:40,Cash,160.2,4.76,8.01,10,High
405-31-3305,A,Yangon,Member,Male,Fashion accessories,43.13,10,21.57,453,2/2/2019,18:31,Credit card,431.3,4.76,21.57,6,Medium
676-39-6028,A,Yangon,Member,Female,Electronic accessories,64.44,5,16.11,338,3/30/2019,17:04,Cash,322.2,4.76,16.11,7,Medium
502-05-1910,A,Yangon,Normal,Male,Health and beauty,65.18,3,9.78,205,2/25/2019,20:35,Credit card,195.54,4.76,9.78,6,Medium
485-30-8700,A,Yangon,Normal,Female,Sports and travel,33.26,5,8.32,175,3/18/2019,16:10,Credit card,166.3,4.76,8.32,4,Medium
575-67-1508,A,Yangon,Normal,Male,Electronic accessories,38.6,1,1.93,41,1/29/2019,11:26,Ewallet,38.6,4.76,1.93,7,Medium
674-15-9296,A,Yangon,Normal,Male,Sports and travel,37.14,5,9.29,195,1/8/2019,13:05,Ewallet,185.7,4.76,9.29,5,Medium
795-49-7276,A,Yangon,Normal,Male,Fashion accessories,37.15,4,7.43,156,3/23/2019,18:59,Ewallet,148.6,4.76,7.43,8,High
510-09-5628,A,Yangon,Member,Female,Fashion accessories,19.66,10,9.83,206,3/15/2019,18:20,Credit card,196.6,4.76,9.83,7,High
420-18-8989,A,Yangon,Member,Female,Sports and travel,51.52,8,20.61,433,2/2/2019,15:47,Cash,412.16,4.76,20.61,10,High
726-29-6793,A,Yangon,Member,Male,Electronic accessories,24.18,8,9.67,203,1/28/2019,20:54,Ewallet,193.44,4.76,9.67,10,High
209-61-0206,A,Yangon,Normal,Female,Home and lifestyle,42.91,5,10.73,225,1/5/2019,17:29,Ewallet,214.55,4.76,10.73,6,Medium
595-27-4851,A,Yangon,Normal,Female,Fashion accessories,54.28,7,19,399,1/27/2019,18:05,Ewallet,379.96,4.76,19,9,High
189-52-0236,A,Yangon,Normal,Male,Electronic accessories,99.55,7,34.84,732,3/14/2019,12:07,Cash,696.85,4.76,34.84,8,High
220-28-1851,A,Yangon,Normal,Male,Home and lifestyle,34.73,2,3.47,73,3/1/2019,18:14,Ewallet,69.46,4.76,3.47,10,High
609-81-8548,A,Yangon,Member,Female,Home and lifestyle,37.44,6,11.23,236,2/6/2019,13:55,Credit card,224.64,4.76,11.23,6,Medium
534-01-4457,A,Yangon,Normal,Male,Food and beverages,81.71,6,24.51,515,1/27/2019,14:36,Credit card,490.26,4.76,24.51,8,High
719-89-8991,A,Yangon,Member,Female,Sports and travel,91.41,5,22.85,480,2/25/2019,16:03,Ewallet,457.05,4.76,22.85,7,High
827-77-7633,A,Yangon,Normal,Male,Sports and travel,98.09,9,44.14,927,2/17/2019,19:41,Cash,882.81,4.76,44.14,9,High
287-83-1405,A,Yangon,Normal,Male,Health and beauty,25.43,6,7.63,160,2/12/2019,19:01,Ewallet,152.58,4.76,7.63,7,Medium
435-13-4908,A,Yangon,Member,Male,Fashion accessories,86.68,8,34.67,728,1/24/2019,18:04,Credit card,693.44,4.76,34.67,7,High
892-05-6689,A,Yangon,Normal,Female,Home and lifestyle,28.32,5,7.08,149,3/11/2019,13:28,Ewallet,141.6,4.76,7.08,6,Medium
643-38-7867,A,Yangon,Normal,Male,Home and lifestyle,97.94,1,4.9,103,3/7/2019,11:44,Ewallet,97.94,4.76,4.9,7,Medium
308-81-0538,A,Yangon,Normal,Female,Fashion accessories,73.05,4,14.61,307,2/25/2019,17:16,Credit card,292.2,4.76,14.61,5,Medium
460-35-4390,A,Yangon,Normal,Male,Home and lifestyle,30.68,3,4.6,97,1/22/2019,11:00,Ewallet,92.04,4.76,4.6,9,High
647-50-1224,A,Yangon,Normal,Female,Fashion accessories,29.42,10,14.71,309,1/12/2019,16:23,Ewallet,294.2,4.76,14.71,9,High
541-48-8554,A,Yangon,Normal,Male,Sports and travel,60.95,9,27.43,576,1/7/2019,12:08,Credit card,548.55,4.76,27.43,6,Medium
213-32-1216,A,Yangon,Normal,Female,Electronic accessories,66.06,6,19.82,416,1/23/2019,10:28,Cash,396.36,4.76,19.82,7,High
134-75-2619,A,Yangon,Member,Male,Electronic accessories,19.32,7,6.76,142,3/25/2019,18:51,Cash,135.24,4.76,6.76,7,Medium
712-39-0363,A,Yangon,Member,Male,Food and beverages,41.66,6,12.5,262,1/2/2019,15:24,Ewallet,249.96,4.76,12.5,6,Medium
218-59-9410,A,Yangon,Member,Female,Home and lifestyle,72.42,3,10.86,228,3/29/2019,16:54,Ewallet,217.26,4.76,10.86,8,High
